26.9,17.7,37.8,27.8,33.3,-26243564,-48641069

26.8,17.6,38.0,27.7,32.6,-26243575,-48641080

26.9,17.7,37.8,27.9,33.8,-26243587,-48641091

26.9,17.7,37.6,27.6,33.1,-26243599,-48641102

26.9,17.8,37.8,25.4,32.2,-26243611,-48641112

26.9,17.7,37.9,25.9,32.2,-26243623,-48641123

26.9,17.7,37.8,26.1,31.9,-26243645,-48641144

26.9,17.7,37.8,28.0,31.5,-26243657,-48641154

26.9,17.7,38.1,25.9,31.5,-26243669,-48641164

26.9,17.8,38.0,26.1,32.3,-26243682,-48641172

26.9,18.1,37.7,26.9,30.6,-26243694,-48641179

26.9,17.8,38.0,27.6,31.7,-26243707,-48641185

26.9,17.8,38.0,26.8,29.2,-26243719,-48641193

26.9,17.8,38.1,27.3,29.6,-26243731,-48641201

26.9,17.7,37.8,27.3,30.0,-26243743,-48641211

26.8,17.7,37.8,25.4,30.7,-26243756,-48641222

27.0,17.8,37.9,27.1,30.7,-26243767,-48641235

26.9,17.7,37.9,26.2,32.7,-26243786,-48641262

26.8,17.8,37.8,23.5,32.3,-26243794,-48641277

26.9,17.7,38.0,22.9,31.9,-26243798,-48641293

26.9,17.7,38.0,24.7,32.1,-26243799,-48641309

28.0,17.7,37.9,24.2,34.3,-26243800,-48641326

26.9,17.7,37.9,23.6,34.0,-26243801,-48641343

26.8,17.7,37.7,25.2,35.1,-26243801,-48641359

26.9,18.6,37.9,25.0,36.4,-26243800,-48641378

26.9,17.6,38.0,22.2,37.4,-26243796,-48641396

26.9,17.8,37.6,24.4,36.3,-26243791,-48641413

26.8,19.0,37.6,25.9,36.3,-26243786,-48641431

26.9,17.7,37.9,24.6,38.0,-26243773,-48641466

26.8,17.6,37.8,24.4,36.8,-26243767,-48641484

26.9,17.7,37.9,24.9,36.8,-26243762,-48641501

26.8,17.5,37.8,24.7,37.7,-26243756,-48641520

